iter	RMSE
0	0.927967863
1	0.8582458339
2	0.7975510888
3	0.7433191856
4	0.691309231
5	0.6491429745
6	0.6083611477
7	0.5731735074
8	0.5411743838
9	0.5157725692
10	0.4897215768
11	0.4674886534
12	0.4463919301
13	0.4275376146
14	0.4117009458
15	0.3991931356
16	0.3873845353
17	0.3776813473
18	0.3680663083
19	0.3594582428
20	0.3523897072
21	0.3465485375
22	0.3409603118
23	0.3362536599
24	0.3321702877
25	0.3266875345
26	0.3237441425
27	0.3201945675
28	0.3170500781
29	0.3139799707
30	0.3103796611
31	0.3086575824
32	0.3065988573
33	0.3039840432
34	0.3022798123
35	0.2997607072
36	0.2979470711
37	0.2963387854
38	0.2946656992
39	0.2930933546
40	0.292027416
41	0.2906739416
42	0.2892074567
43	0.2878403068
44	0.2864534182
45	0.2852566875
46	0.2837234717
47	0.2827943578
48	0.2821124061
49	0.281219813
