iter	Passed	Remaining
0	146	7200
1	149	3576
2	151	2368
3	153	1765
4	157	1416
5	160	1177
6	164	1010
7	168	886
8	171	782
9	175	701
10	177	628
11	180	573
12	184	524
13	186	479
14	189	441
15	194	412
16	197	382
17	199	354
18	202	330
19	205	307
20	207	286
21	210	268
22	213	250
23	215	233
24	217	217
25	220	203
26	223	190
27	225	177
28	230	167
29	234	156
30	238	146
31	243	137
32	247	127
33	251	118
34	257	110
35	260	101
36	263	92
37	266	84
38	271	76
39	275	68
40	279	61
41	281	53
42	284	46
43	290	39
44	293	32
45	300	26
46	304	19
47	306	12
48	311	6
49	317	0
